Id,Predicted
5895,0.95
5172,0.87
6207,0.71
7122,0.63
7067,0.74
6173,0.95
6705,0.73
5889,0.74
5036,0.88
6142,0.85
6938,0.71
5932,0.82
5398,0.9
6855,0.97
6632,0.95
5358,0.52
5674,0.82
5384,0.75
5589,0.59
5042,0.52
6095,0.8
7049,0.78
6075,0.78
6878,0.76
5790,0.55
5532,0.59
6118,0.68
6442,0.75
6554,0.77
5973,0.84
5043,0.63
7195,0.65
6746,0.83
6793,0.89
5940,0.79
5584,0.95
5669,0.91
7286,0.82
5992,0.65
6278,0.8
6196,0.87
6052,0.92
5354,0.78
6076,0.84
5134,0.73
6147,0.76
6237,0.46
5245,0.9
5582,0.95
6508,0.69
4968,0.69
6571,0.92
5419,0.29
6377,0.92
6562,0.88
6913,0.84
6014,0.82
5556,0.59
6346,0.84
6310,0.92
6763,0.85
7051,0.92
5117,0.71
6338,0.44
5719,0.66
7181,0.8
7264,0.93
5343,0.94
7277,0.76
6468,0.7
7037,0.82
5782,0.91
5930,0.87
6791,0.39
5332,0.91
5491,0.42
7129,0.81
6948,0.81
6962,0.54
6766,0.86
7172,0.92
5501,0.62
6234,0.96
6450,0.78
5823,0.58
5334,0.44
6821,0.36
5760,0.9
6168,0.89
5644,0.47
6255,0.36
6660,0.87
5991,0.51
5656,0.72
6322,0.81
6877,0.72
4986,0.69
5638,0.74
5206,0.72
5369,0.82
5643,0.77
5862,0.93
6934,0.6
7119,0.76
5124,0.83
4989,0.59
6028,0.65
5486,0.68
5338,0.88
6239,0.42
5287,0.86
6320,0.53
5815,0.92
5154,0.83
6490,0.84
5942,0.82
7085,0.54
6959,0.86
5086,0.66
6758,0.64
5377,0.71
6612,0.72
5447,0.61
6727,0.74
7147,0.77
5158,0.9
5147,0.83
5015,0.7
5346,0.82
6415,0.8
4990,0.94
6641,0.8
7187,0.97
5799,0.83
7110,0.79
5313,0.94
7087,0.95
5616,0.75
6357,0.96
5865,0.62
5027,0.87
5420,0.73
6235,0.8
5977,0.88
6851,0.63
5531,0.79
6824,0.82
6386,0.85
5207,0.88
6887,0.72
5051,0.91
6502,0.98
4962,0.98
6552,0.72
6044,0.84
5906,0.84
5561,0.51
7115,0.8
6605,0.82
7250,0.72
6875,0.85
5773,0.78
5365,0.62
6010,0.55
6399,0.95
6748,0.66
6088,0.6
7255,0.65
6861,0.74
5318,0.74
5682,0.83
7201,0.85
6254,0.86
7072,0.94
6312,0.96
5241,0.89
5953,0.86
5072,0.76
6970,0.88
5774,0.73
5382,0.95
5469,0.79
5772,0.63
5527,0.83
5169,0.81
5526,0.94
5931,0.89
5731,0.69
5651,0.93
5569,0.51
6402,0.84
6753,0.69
5585,0.77
7046,0.61
6486,0.56
5893,0.7
5868,0.86
5281,0.52
7100,0.63
6866,0.8
6436,0.45
5784,0.55
5174,0.46
6350,0.8
5063,0.39
6249,0.53
5808,0.91
6984,0.67
6922,0.72
5367,0.72
6625,0.46
5963,0.46
6534,0.52
6730,0.83
6054,0.75
7295,0.72
5878,0.96
6655,0.63
5956,0.63
6926,0.62
5140,0.36
5520,0.87
5110,0.73
5681,0.75
5698,0.83
5210,0.72
6059,0.76
6569,0.85
5428,0.79
7230,0.89
7221,0.66
5005,0.87
6464,0.81
5034,0.8
5304,0.77
6871,0.84
6956,0.89
6495,0.75
5363,0.85
5634,0.91
5850,0.83
6857,0.97
7035,0.89
7253,0.79
6544,0.92
7202,0.8
5683,0.82
7167,0.65
6055,0.69
7199,0.83
5758,0.65
5718,0.89
5229,0.58
5236,0.64
5360,0.95
6755,0.6
6819,0.79
5041,0.83
6104,0.88
6643,0.9
6083,0.88
5293,0.76
7088,0.8
7001,0.74
5779,0.71
6607,0.97
5103,0.95
6215,0.78
7096,0.82
5039,0.73
6136,0.64
6078,0.82
6037,0.99
6113,0.83
5976,0.6
7139,0.9
5046,0.56
5451,0.81
6856,0.64
5253,0.62
6695,0.82
6621,0.94
6435,0.84
5389,0.7
6872,0.72
6908,0.65
6942,0.93
6665,0.9
6541,0.74
6688,0.88
5368,0.85
6923,0.85
6313,0.85
5270,0.84
5446,0.89
5817,0.74
7209,0.65
6568,0.81
6682,0.72
5699,0.68
7292,0.85
5214,0.83
6437,0.69
5320,0.71
7164,0.8
5221,0.96
5856,0.76
6353,0.71
6677,0.79
6242,0.9
5061,0.85
6868,0.78
6097,0.73
7050,0.77
7171,0.89
7200,0.86
6969,0.83
7219,0.96
7242,0.96
6852,0.93
5830,0.78
6790,0.61
5265,0.69
6007,0.71
7279,0.84
5463,0.95
6355,0.79
6675,0.83
5620,0.92
4988,0.56
5765,0.79
7091,0.91
5933,0.84
6470,0.97
5841,0.84
6574,0.9
5525,0.86
5435,0.7
7168,0.78
5909,0.9
6859,0.72
6539,0.95
5226,0.58
5260,0.88
6553,0.9
6633,0.66
7151,0.85
5665,0.71
6932,0.91
7294,0.86
6321,0.86
6469,0.88
5614,0.83
4967,0.63
